caller           api                    id-arg        full-args
FUN_00490690     Play3D(id,vec3*)       7             (7, &local_dc, 0)
FUN_00490690     Play3D(id,vec3*)       9             (9, &local_dc, 0)
FUN_00490690     Play3D(id,vec3*)       uVar16        (uVar16, &local_dc, 0)
FUN_00490690     Play3D(id,vec3*)       uVar16        (uVar16, &local_dc, 0)
FUN_004915b0     Play3D(id,vec3*)       0xf           (0xf, (&DAT_005d68a8)[iVar4 * 0x12] + 0x18, 0)
FUN_0049a940     Play2D(id,flags)       0x21          (0x21, 0)
FUN_0049be50     IsPlaying(id)          *(undefined4 *)((int)param_1 + 0xdb) (*(undefined4 *)((int)param_1 + 0xdb))
FUN_0049be50     IsPlaying(id)          *(undefined4 *)((int)param_1 + 0xdb) (*(undefined4 *)((int)param_1 + 0xdb))
FUN_0049be50     IsPlaying(id)          0x2a          (0x2a)
FUN_0049be50     Play3D(id,vec3*)       *(undefined4 *)((int)param_1 + 0xdb) (*(undefined4 *)((int)param_1 + 0xdb), param_1 + 0xc, 0)
FUN_0049be50     Play3D(id,vec3*)       *(undefined4 *)((int)param_1 + 0xdb) (*(undefined4 *)((int)param_1 + 0xdb), param_1 + 0xc, 0)
FUN_0049be50     Play3D(id,vec3*)       0x2a          (0x2a, param_1 + 0xc, 0)
FUN_0049d660     Play3D(id,vec3*)       0xf           (0xf, param_1 + 0xc, 0)
FUN_0049d7e0     Play2D(id,flags)       0x1e          (0x1e, 0)
FUN_0049e270     IsPlaying(id)          0x2b          (0x2b)
FUN_0049e270     Play3D(id,vec3*)       0x2b          (0x2b, param_1 + 0xc, 0)
FUN_0049fd00     Play3D(id,vec3*)       0x81          (0x81, param_1 + 0x30, 0)
FUN_0049ff00     Play3D(id,vec3*)       4             (4, piVar5, 0)
FUN_004a1d50     IsPlaying(id)          0x11          (0x11)
FUN_004a1d50     IsPlaying(id)          0x11          (0x11)
FUN_004a1d50     IsPlaying(id)          0x12          (0x12)
FUN_004a1d50     IsPlaying(id)          0x12          (0x12)
FUN_004a1d50     IsPlaying(id)          0x13          (0x13)
FUN_004a1d50     IsPlaying(id)          0x13          (0x13)
FUN_004a1d50     IsPlaying(id)          0x14          (0x14)
FUN_004a1d50     IsPlaying(id)          0x14          (0x14)
FUN_004a1d50     IsPlaying(id)          0x14          (0x14)
FUN_004a1d50     IsPlaying(id)          0x14          (0x14)
FUN_004a1d50     Play3D(id,vec3*)       0x11          (0x11, &local_c, 1)
FUN_004a1d50     Play3D(id,vec3*)       0x12          (0x12, &local_c, 1)
FUN_004a1d50     Play3D(id,vec3*)       0x13          (0x13, &local_c, 1)
FUN_004a1d50     Play3D(id,vec3*)       0x14          (0x14, &local_c, 1)
FUN_004a1d50     Play3D(id,vec3*)       0x14          (0x14, &local_c, 1)
FUN_004a1d50     SetVolume(id,adj)      0x11          (0x11, iVar3 >> 0x10)
FUN_004a1d50     SetVolume(id,adj)      0x12          (0x12, iVar3 >> 0x10)
FUN_004a1d50     SetVolume(id,adj)      0x13          (0x13, iVar3 >> 0x10)
FUN_004a1d50     SetVolume(id,adj)      0x14          (0x14, iVar3 >> 0x10)
FUN_004a1d50     SetVolume(id,adj)      0x14          (0x14, iVar3 >> 0x10)
FUN_004a1d50     Stop(id)               0x11          (0x11)
FUN_004a1d50     Stop(id)               0x12          (0x12)
FUN_004a1d50     Stop(id)               0x13          (0x13)
FUN_004a1d50     Stop(id)               0x14          (0x14)
FUN_004a1d50     Stop(id)               0x14          (0x14)
FUN_004a22e0     Play3D(id,vec3*)       7             (7, (int *)(param_1 + 0x30), 0)
FUN_004a22e0     Play3D(id,vec3*)       7             (7, (int *)(param_1 + 0x30), 0)
FUN_004a4ac0     IsPlaying(id)          0xd           (0xd)
FUN_004a4ac0     Play3D(id,vec3*)       0xd           (0xd, &iStack_c, 1)
FUN_004a4ac0     SetPos(id,vec3*)       0xd           (0xd, &iStack_c)
FUN_004a4ac0     Stop(id)               0xd           (0xd)
FUN_004a50c0     Play3D(id,vec3*)       0xf           (0xf, &local_c, 0)
FUN_004a5fd0     Play3D(id,vec3*)       4             (4, &local_58, 0)
FUN_004a9a10     Play2D(id,flags)       0x7f          (0x7f, 0)
FUN_004aa150     Play2D(id,flags)       0x1e          (0x1e, 0)
FUN_004aa150     Play2D(id,flags)       0x1e          (0x1e, 0)
FUN_004aa150     Play2D(id,flags)       0x1e          (0x1e, 0)
FUN_004aa150     Play2D(id,flags)       0x1e          (0x1e, 0)
FUN_004aa150     Play2D(id,flags)       0x1e          (0x1e, 0)
FUN_004aa150     Play2D(id,flags)       0x1e          (0x1e, 0)
FUN_004aa150     Play2D(id,flags)       0x1e          (0x1e, 0)
FUN_004aa150     Play2D(id,flags)       0x1e          (0x1e, 0)
FUN_004aa150     Play2D(id,flags)       0x1e          (0x1e, 0)
FUN_004aa150     Play2D(id,flags)       0x1e          (0x1e, 0)
FUN_004aa150     Play2D(id,flags)       0x1e          (0x1e, 0)
FUN_004aa150     Play2D(id,flags)       0x1e          (0x1e, 0)
FUN_004aa150     Play2D(id,flags)       0x1e          (0x1e, 0)
FUN_004aa150     Play2D(id,flags)       0x21          (0x21, 0)
FUN_004aa150     Play2D(id,flags)       0x7f          (0x7f, 0)
FUN_004aabf0     PlayQueued(a,id,b)     iVar1         (0, iVar1, 0x96)
FUN_004aabf0     PlayQueued(a,id,b)     uVar8         (0, uVar8, uVar9)
FUN_004ab480     PlayQueued(a,id,b)     0x2f          (0, 0x2f, 0x96)
FUN_004ab480     PlayQueued(a,id,b)     iVar3         (0, iVar3, 0x32)
FUN_004ab480     PlayQueued(a,id,b)     iVar5         (0, iVar5, 0x32)
FUN_004ab480     PlayQueued(a,id,b)     iVar6         (0, iVar6, 0x32)
FUN_004af220     Play3D(id,vec3*)       0xb           (0xb, puVar4[1] + 0x18, 0)
FUN_004b1d20     Play3D(id,vec3*)       0xf           (0xf, iVar2, 0)
FUN_004b1d20     Play3D(id,vec3*)       0xf           (0xf, iVar2, 0)
FUN_004b1d20     Play3D(id,vec3*)       0xf           (0xf, iVar2, 0)
FUN_004b1d20     Play3D(id,vec3*)       0xf           (0xf, iVar2, 0)
FUN_004b1d20     Play3D(id,vec3*)       0xf           (0xf, iVar2, 0)
FUN_004b2150     Play3D(id,vec3*)       0xf           (0xf, iVar1, 0)
FUN_004b23e0     IsPlaying(id)          0x1b          (0x1b)
FUN_004b23e0     IsPlaying(id)          0x1b          (0x1b)
FUN_004b23e0     IsPlaying(id)          0x1b          (0x1b)
FUN_004b23e0     IsPlaying(id)          0x1b          (0x1b)
FUN_004b23e0     IsPlaying(id)          0x1c          (0x1c)
FUN_004b23e0     IsPlaying(id)          0x1c          (0x1c)
FUN_004b23e0     IsPlaying(id)          0x1c          (0x1c)
FUN_004b23e0     IsPlaying(id)          0x23          (0x23)
FUN_004b23e0     IsPlaying(id)          0x23          (0x23)
FUN_004b23e0     IsPlaying(id)          0x23          (0x23)
FUN_004b23e0     Play3D(id,vec3*)       0x1b          (0x1b, piVar1, 1)
FUN_004b23e0     Play3D(id,vec3*)       0x1c          (0x1c, piVar1, 1)
FUN_004b23e0     Play3D(id,vec3*)       0x23          (0x23, (int *)(param_1 + 0x70), 1)
FUN_004b23e0     SetVolume(id,adj)      0x1b          (0x1b, iVar2 >> 0x10)
FUN_004b23e0     SetVolume(id,adj)      0x1c          (0x1c, iVar2 >> 0x10)
FUN_004b23e0     SetVolume(id,adj)      0x23          (0x23, iVar2 >> 0x10)
FUN_004b23e0     Stop(id)               0x1b          (0x1b)
FUN_004b23e0     Stop(id)               0x1b          (0x1b)
FUN_004b23e0     Stop(id)               0x1b          (0x1b)
FUN_004b23e0     Stop(id)               0x1c          (0x1c)
FUN_004b23e0     Stop(id)               0x1c          (0x1c)
FUN_004b23e0     Stop(id)               0x23          (0x23)
FUN_004b23e0     Stop(id)               0x23          (0x23)
FUN_004b2910     Play2D(id,flags)       0x1d          (0x1d, 0)
FUN_004b2910     Play2D(id,flags)       0x2d          (0x2d, 0)
FUN_004b2ab0     Play3D(id,vec3*)       uVar10        (uVar10, param_1 + 0x70, 0)
FUN_004b2cd0     Play3D(id,vec3*)       0x1a          (0x1a, &local_98, 0)
FUN_004b2cd0     Play3D(id,vec3*)       0x1a          (0x1a, &local_98, 0)
FUN_004b4570     IsPlaying(id)          0x19          (0x19)
FUN_004b4570     IsPlaying(id)          0x19          (0x19)
FUN_004b4570     IsPlaying(id)          0x19          (0x19)
FUN_004b4570     Play3D(id,vec3*)       0x19          (0x19, (int *)(param_1 + 0xb9), 1)
FUN_004b4570     SetVolume(id,adj)      0x19          (0x19, iVar1 >> 0x10)
FUN_004b4570     Stop(id)               0x19          (0x19)
FUN_004b4570     Stop(id)               0x19          (0x19)
FUN_004b49b0     Play3D(id,vec3*)       0x1a          (0x1a, *(int *)(param_1 + 0x1cd) + 0x18, 0)
FUN_004b8630     IsPlaying(id)          0x2a          (0x2a)
FUN_004b8630     Play3D(id,vec3*)       0x2a          (0x2a, param_1 + 0xc, 0)
FUN_004b8b60     IsPlaying(id)          0x6f          (0x6f)
FUN_004b8b60     IsPlaying(id)          0x70          (0x70)
FUN_004b8b60     Play3D(id,vec3*)       0x6f          (0x6f, param_1 + 0x30, 0)
FUN_004b8b60     Play3D(id,vec3*)       0x70          (0x70, param_1 + 0x30, 0)
FUN_004b8c90     IsPlaying(id)          0x6f          (0x6f)
FUN_004b8c90     IsPlaying(id)          0x70          (0x70)
FUN_004b8c90     Play3D(id,vec3*)       0x6f          (0x6f, param_1 + 0x30, 0)
FUN_004b8c90     Play3D(id,vec3*)       0x70          (0x70, param_1 + 0x30, 0)
FUN_004bd770     IsPlaying(id)          0x6f          (0x6f)
FUN_004bd770     IsPlaying(id)          0x70          (0x70)
FUN_004bd770     Play3D(id,vec3*)       0x6f          (0x6f, param_1 + 0xc, 0)
FUN_004bd770     Play3D(id,vec3*)       0x70          (0x70, param_1 + 0xc, 0)
FUN_004bd980     IsPlaying(id)          0x6f          (0x6f)
FUN_004bd980     IsPlaying(id)          0x70          (0x70)
FUN_004bd980     Play3D(id,vec3*)       0x6f          (0x6f, param_1 + 0xc, 0)
FUN_004bd980     Play3D(id,vec3*)       0x70          (0x70, param_1 + 0xc, 0)
FUN_004c1b50     Stop(id)               (int)(short)(*(short *)(param_1 + 0x172) + 0x71) ((int)(short)(*(short *)(param_1 + 0x172) + 0x71))
FUN_004c1b50     Stop(id)               (int)(short)(*(short *)(param_1 + 0x172) + 0x71) ((int)(short)(*(short *)(param_1 + 0x172) + 0x71))
FUN_004c1df0     Stop(id)               (int)(short)(*(short *)(iVar1 + 0x172) + 0x71) ((int)(short)(*(short *)(iVar1 + 0x172) + 0x71))
FUN_004c1df0     Stop(id)               (int)(short)(*(short *)(iVar1 + 0x172) + 0x71) ((int)(short)(*(short *)(iVar1 + 0x172) + 0x71))
FUN_004c4ee0     SetPos(id,vec3*)       (int)sVar5    ((int)sVar5, iVar7 + 0x1cc)
FUN_004c4ee0     Stop(id)               (int)(short)(*(short *)(iVar7 + 0x172) + 0x71) ((int)(short)(*(short *)(iVar7 + 0x172) + 0x71))
FUN_004c5120     IsPlaying(id)          (int)sVar2    ((int)sVar2)
FUN_004c5120     Stop(id)               (int)(short)(*(short *)(iVar1 + 0x172) + 0x71) ((int)(short)(*(short *)(iVar1 + 0x172) + 0x71))
FUN_004c5210     AddFreq(id,d)          iVar7         (iVar7, (int)sVar4)
FUN_004c5210     IsPlaying(id)          (int)sVar4    ((int)sVar4)
FUN_004c5210     Play2D(id,flags)       iVar7         (iVar7, uStack_108)
FUN_004c5210     Play3D(id,vec3*)       iVar7         (iVar7, param_1 + 0x1cc)
FUN_004c5210     SetFile(id,name)       iVar7         (iVar7, apcStack_104)
FUN_004c5210     Stop(id)               (int)(short)(*(short *)(param_1 + 0x172) + 0x71) ((int)(short)(*(short *)(param_1 + 0x172) + 0x71))
FUN_004c5210     Stop(id)               iVar7         (iVar7)
FUN_004c5fb0     Stop(id)               (int)(short)(*(short *)((int)piVar4 + 0x172) + 0x71) ((int)(short)(*(short *)((int)piVar4 + 0x172) + 0x71))
FUN_004c7d70     Stop(id)               (int)(short)(*(short *)((int)param_1 + 0x172) + 0x71) ((int)(short)(*(short *)((int)param_1 + 0x172) + 0x71))
FUN_004cc5d0     Stop(id)               (int)(short)(*(short *)((int)param_1 + 0x172) + 0x71) ((int)(short)(*(short *)((int)param_1 + 0x172) + 0x71))
FUN_004cc730     Stop(id)               (int)(short)(*(short *)((int)piVar1 + 0x172) + 0x71) ((int)(short)(*(short *)((int)piVar1 + 0x172) + 0x71))
thunk_FUN_004c5fb0 Stop(id)               (int)(short)(*(short *)((int)piVar4 + 0x172) + 0x71) ((int)(short)(*(short *)((int)piVar4 + 0x172) + 0x71))
